id,valence
3c5i1PV78s4Mgz5DPvg5p8,0.228
5W3Y5I9y5ps6M6rl09e7zg,0.643
1FssTKSXO3JLiQc3udfK5I,0.767
0WWz2AaqxLoO0fa9ou6Fqc,0.26
5EeQ940KC0N4JCNLPIdRd1,0.596
6gwJm7LgsaHdd3CWi4K8e8,0.555
1afTwsEo5krLFMwtTANrAF,0.731
1bYItjcPRtxZs6Ir71O5RB,0.125
2P4i9NQa7ws6nFhk8hZFHg,0.828
5xRP5iyVdGglqlY4Vcjhkx,0.663
1YswuCkn8UfMLfsIR2M2Sy,0.708
00pGaOhIq27ToaysOlbIGW,0.784
4m12v0hwZQohyqWzmF2mbD,0.592
1qiDXtzrZsTR0UHhxUuXaj,0.892
5e9TFTbltYBg2xThimr0rU,0.481
20xbn1NX54tCQqBiQBttQw,0.512
0baFMrZLaxkwLKoKZrSry7,0.509
7eAutsdYIf4BfDk8xlDeIX,0.14
22kxHi3kQxxVyM9rAZSQ4g,0.211
35cvzlHWSORdy0aiXsMPsE,0.887
2X20zG14cDin3klff4drtU,0.766
1CUMeEN0cSRVSJ5XQpsOly,0.526
1ptKPZyoKjI7PAJqAC9dVS,0.857
1RSVFS9QNS5MJRG16hMGfg,0.48
0953cdKKTCtvWtrpGVJsSV,0.561
3PqGJcr9GL9uUBlDOPaJSj,0.471
2dtIoZ0tJ3EH3EcxAkGNE8,0.0667
6CejXLIOxafc5Upje6RCIV,0.41
0lDRD84oqLNJFKrqmRhUiI,0.818
0S5no2cN1esY74TYCsKbXG,0.336
1vefcOBRQ83aE7tMO33njz,0.717
6STHWwMa2vbr1nKArQH7hd,0.635
2f2kzFzXSKv4XZyx2wYoh6,0.845
55RzZKWf4ICmLH4ulzkXNG,0.734
0yKcdafy64xX9n1ant34Ry,0.614
0wovyVOcYuRoCl0kMmIlXF,0.534
4PQMXZKRYdlt2E2evSVfyQ,0.737
4mDrSbQKLmQlJ3sf19Hg6Q,0.0353
