danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.253,0.385,7,-8.031,0,0.0341,0.729,0.0,0.0428,0.646,203.512,161000,4
0.219,0.222,9,-16.941,1,0.039,0.978,0.000149,0.0837,0.0632,72.999,219707,3
0.846,0.651,7,-5.481,0,0.128,0.634,0.0,0.125,0.581,140.048,223921,4
0.398,0.255,10,-11.205,1,0.0373,0.944,3.24e-06,0.114,0.386,83.883,246573,4
0.612,0.579,5,-7.264,1,0.0269,0.606,8.93e-06,0.353,0.81,136.641,195531,4
0.768,0.155,2,-13.473,1,0.113,0.994,0.689,0.113,0.739,111.871,175493,4
0.653,0.368,10,-11.567,0,0.0439,0.875,0.00305,0.0972,0.249,117.161,524093,4
0.573,0.639,0,-7.143,1,0.0247,0.784,0.633,0.0923,0.24,89.575,248707,4
0.588,0.336,7,-11.818,0,0.0461,0.883,0.0,0.251,0.667,169.384,134493,4
0.56,0.302,0,-10.553,1,0.16,0.882,3.58e-06,0.0975,0.805,173.677,132840,4
0.167,0.199,4,-15.966,0,0.037,0.947,0.886,0.248,0.144,80.816,731107,4
0.437,0.899,5,-6.392,1,0.093,0.381,0.000796,0.131,0.432,97.94,454853,4
0.81,0.595,9,-7.848,1,0.166,0.376,0.00371,0.429,0.824,113.264,170619,4
0.531,0.353,8,-15.677,1,0.198,0.975,0.000473,0.591,0.551,119.202,201800,4
0.447,0.422,1,-11.076,0,0.167,0.872,5.6e-06,0.102,0.77,165.695,329000,4
0.464,0.563,1,-12.987,1,0.0495,0.0485,0.654,0.987,0.385,126.826,433333,4
0.674,0.451,11,-11.831,0,0.0304,0.578,0.000698,0.0865,0.67,135.435,314547,4
0.409,0.859,10,-4.098,0,0.0367,0.000123,0.0,0.369,0.473,154.023,275013,4
0.599,0.352,5,-14.823,1,0.0302,0.289,0.0,0.0865,0.411,101.758,195760,4
0.586,0.237,7,-13.927,0,0.038,0.996,0.935,0.281,0.909,83.335,199000,4
0.217,0.911,1,-27.515,1,0.18,0.0202,0.724,0.337,0.0265,91.211,1787761,4
0.522,0.892,6,-8.472,1,0.0515,0.0239,0.0715,0.295,0.939,166.093,127400,4
0.313,0.102,9,-20.0,1,0.0388,0.992,0.197,0.123,0.197,98.336,181800,4
0.646,0.636,9,-15.222,1,0.0421,0.00761,0.165,0.055,0.852,126.629,225827,4
0.526,0.41,9,-12.451,1,0.039,0.989,0.889,0.562,0.917,67.151,151440,3
0.648,0.582,9,-10.524,1,0.031,0.694,0.0,0.231,0.636,97.906,161080,4
0.699,0.67,7,-10.307,0,0.0347,0.208,0.0,0.0906,0.927,135.999,166360,4
0.328,0.188,6,-14.065,1,0.0456,0.922,0.0422,0.186,0.0455,77.161,119973,3
0.556,0.762,11,-14.145,0,0.0478,0.0225,0.61,0.362,0.332,109.995,301333,4
0.557,0.826,10,-4.545,0,0.0394,0.000692,0.188,0.0914,0.632,164.01,257467,4
0.582,0.846,0,-2.771,1,0.0451,0.022,0.0,0.133,0.736,92.004,165587,4
0.594,0.289,9,-8.086,1,0.0424,0.767,0.0,0.084,0.815,183.541,161827,3
0.498,0.313,10,-10.025,1,0.0306,0.945,0.312,0.344,0.695,144.834,159600,4
0.631,0.521,4,-10.312,0,0.063,0.0201,0.923,0.103,0.118,84.033,151520,4
0.533,0.663,3,-10.324,1,0.206,0.825,0.775,0.865,0.534,98.718,769867,4
0.437,0.727,2,-5.432,1,0.0293,0.0532,0.0,0.103,0.233,73.029,346587,4
0.517,0.369,9,-11.848,1,0.0315,0.947,0.924,0.158,0.517,108.552,130107,4
0.274,0.17,9,-20.501,1,0.0438,0.969,0.0256,0.379,0.2,99.486,406893,4
0.821,0.627,1,-15.438,1,0.0455,0.263,0.000544,0.103,0.911,110.831,226766,4
0.442,0.148,2,-19.355,1,0.0387,0.995,0.948,0.114,0.48,111.903,166827,4
0.483,0.579,5,-13.923,1,0.116,0.481,0.00141,0.242,0.891,122.527,140680,4
0.252,0.993,4,-3.079,0,0.16,0.0234,0.0,0.228,0.118,183.773,138840,4
0.494,0.243,5,-9.083,0,0.0316,0.822,0.00225,0.147,0.0722,126.063,268854,4
0.225,0.305,3,-14.976,1,0.0369,0.837,0.919,0.132,0.258,114.091,248400,3
0.37,0.0393,9,-27.541,1,0.0346,0.951,0.000126,0.0785,0.167,109.092,216880,4
0.519,0.668,0,-5.844,1,0.028,0.037,0.0,0.17,0.424,141.965,306187,4
0.619,0.444,4,-11.72,1,0.13,0.346,5.81e-06,0.065,0.816,80.313,252240,4
0.428,0.978,11,-3.199,1,0.137,0.0074,0.0256,0.458,0.439,97.59,247360,4
0.768,0.79,1,-5.091,1,0.191,0.0754,1.79e-06,0.13,0.398,84.95,180706,4
0.577,0.859,10,-3.693,1,0.0603,0.0111,0.000174,0.336,0.482,91.976,324280,4
0.559,0.221,6,-12.003,1,0.286,0.855,0.0,0.0939,0.222,85.186,223393,4
0.567,0.754,6,-13.227,1,0.0719,0.185,0.887,0.11,0.0446,188.017,307880,4
0.576,0.906,2,-7.677,1,0.0571,0.000332,0.0614,0.0908,0.211,127.935,323800,4
0.362,0.969,9,-5.757,0,0.294,0.00106,0.0,0.0529,0.195,82.364,119861,4
0.54,0.623,2,-11.15,1,0.0602,0.0257,1.57e-06,0.0912,0.497,98.182,251540,4
0.591,0.666,0,-5.849,0,0.0372,0.129,0.0,0.233,0.226,159.986,217800,4
0.697,0.324,3,-13.328,1,0.0401,0.715,0.000763,0.0823,0.667,96.446,315893,4
0.435,0.0435,8,-24.654,1,0.0423,0.987,0.76,0.0985,0.186,77.533,344080,4
0.19,0.866,1,-5.935,0,0.0829,6.86e-06,0.00362,0.377,0.297,147.939,166133,4
0.39,0.266,11,-14.663,0,0.0398,0.518,0.0156,0.218,0.253,81.233,567973,4
0.291,0.19,0,-18.735,1,0.0381,0.986,0.92,0.133,0.0474,103.913,914533,3
0.507,0.707,7,-9.302,1,0.122,0.935,6.57e-05,0.249,0.8,80.206,347800,4
0.519,0.26,0,-18.948,1,0.0404,0.849,0.859,0.19,0.39,96.454,485093,4
0.703,0.411,11,-13.881,0,0.0346,0.342,0.565,0.0895,0.763,136.139,268467,4
0.678,0.534,4,-7.23,0,0.0378,0.85,0.0,0.375,0.847,126.066,177987,4
0.577,0.683,6,-7.328,0,0.0394,0.289,2.96e-05,0.451,0.779,99.55,191027,4
0.598,0.229,2,-16.059,0,0.0365,0.823,0.000367,0.303,0.453,138.552,346213,4
0.817,0.681,1,-7.905,1,0.111,0.0216,0.00431,0.066,0.691,99.738,292333,4
